overall_qual,gr_liv_area,exter_qual,kitchen_qual,total_bsmt_sf,garage_area,garage_cars,1st_flr_sf,bsmt_qual,year_built,garage_finish,garage_yr_blt,year_remod/add,fireplace_qu,full_bath,foundation_PConc,mas_vnr_area,totrms_abvgrd
5,1604,3,3,984.0,660.0,2.0,984,3,1941,1,1977.0,1960,0,2,0,0.0,6
7,1502,3,3,776.0,270.0,1.0,851,4,1931,2,1931.0,2000,4,1,0,0.0,6
5,1063,3,3,1056.0,280.0,1.0,1063,3,1954,2,1954.0,1954,0,1,0,110.0,6
7,1626,4,4,764.0,474.0,2.0,764,4,2003,2,2003.0,2004,0,2,1,106.0,6
6,1524,4,4,756.0,440.0,2.0,768,4,2000,1,2000.0,2000,0,2,1,513.0,4
4,1981,3,4,1122.0,576.0,2.0,1328,3,1928,1,1981.0,1950,3,2,0,0.0,7
7,2784,3,4,1392.0,564.0,2.0,1392,4,1978,2,1978.0,1978,3,3,0,184.0,12
4,1092,3,3,546.0,0.0,0.0,546,3,1970,0,1970.0,1970,0,1,0,0.0,5
6,1575,3,4,216.0,400.0,2.0,1575,3,1951,1,1951.0,1951,4,1,0,522.0,5
6,1352,3,3,663.0,299.0,1.0,663,3,1969,3,1969.0,1969,0,1,0,143.0,7
7,1200,4,4,600.0,480.0,2.0,600,4,2004,2,2004.0,2005,0,2,1,0.0,4
5,936,3,3,936.0,240.0,1.0,936,3,1954,1,1954.0,1975,0,1,0,0.0,5
6,1040,3,3,1040.0,293.0,1.0,1040,3,1953,3,1953.0,1953,0,1,0,0.0,6
6,1636,3,3,916.0,386.0,2.0,916,4,1996,3,1996.0,1996,3,2,1,0.0,7
8,2270,4,4,1152.0,671.0,3.0,1164,4,1999,3,1999.0,2007,4,2,1,348.0,9
8,2610,4,5,1184.0,550.0,2.0,1184,4,2007,3,2007.0,2007,4,2,1,0.0,11
7,1483,4,3,1420.0,690.0,2.0,1483,4,1977,2,1977.0,2001,3,1,0,0.0,4
5,1740,2,5,936.0,225.0,1.0,960,3,1920,1,1920.0,1950,4,1,0,0.0,6
5,1382,3,4,1382.0,350.0,1.0,1382,3,1955,1,1955.0,1955,0,1,0,0.0,6
5,1120,3,3,1120.0,0.0,0.0,1120,4,2007,0,2007.0,2007,0,1,1,0.0,6
7,1098,3,3,531.0,216.0,1.0,567,4,1930,1,1930.0,1995,4,1,0,0.0,5
7,1708,4,4,976.0,380.0,2.0,976,4,2004,1,2004.0,2004,0,2,1,117.0,7
9,1802,5,5,1802.0,843.0,3.0,1802,5,2006,3,2006.0,2006,4,2,1,510.0,7
7,1506,4,4,1362.0,440.0,2.0,1506,4,2005,3,2005.0,2005,4,2,1,145.0,6
7,1508,4,4,1508.0,572.0,2.0,1508,4,2009,2,2009.0,2010,3,1,1,96.0,5
7,2032,4,4,1840.0,786.0,3.0,2032,5,1996,3,1996.0,1997,0,3,1,668.0,7
6,1194,3,3,655.0,539.0,2.0,1194,3,1959,3,1954.0,1959,2,1,0,0.0,6
7,1709,4,4,970.0,380.0,2.0,970,4,2004,1,2004.0,2004,0,2,1,50.0,7
7,1616,4,4,1616.0,834.0,3.0,1616,4,2005,2,2005.0,2005,0,2,1,228.0,7
6,768,4,3,768.0,440.0,2.0,768,3,1930,1,1930.0,1950,0,1,0,0.0,4
5,872,3,2,872.0,322.0,1.0,872,3,1924,1,1924.0,1950,4,1,0,65.0,5
4,520,3,2,520.0,240.0,1.0,520,3,1927,1,1920.0,1950,0,1,0,0.0,4
5,2274,3,3,1105.0,480.0,2.0,1105,3,1960,1,1960.0,1960,0,2,0,361.0,12
5,1601,4,3,936.0,0.0,0.0,936,3,1925,0,1925.0,2003,0,2,0,0.0,6
5,1232,3,3,616.0,480.0,2.0,616,3,1910,1,1920.0,1950,0,1,0,0.0,6
9,2234,5,5,2216.0,1166.0,3.0,2234,5,2008,3,2009.0,2009,4,2,1,748.0,9
5,1416,3,3,876.0,720.0,3.0,876,3,1915,1,1949.0,1950,4,1,0,0.0,7
4,864,3,3,864.0,576.0,2.0,864,3,1971,1,1986.0,2006,0,1,0,0.0,5
6,1189,3,3,1189.0,392.0,2.0,1189,5,1997,2,1997.0,1997,0,2,1,197.0,4
9,1666,5,4,1666.0,575.0,2.0,1666,5,2006,2,2006.0,2006,4,2,1,572.0,6
7,1200,4,4,1176.0,555.0,2.0,1200,4,2003,2,2003.0,2003,0,2,1,0.0,5
5,928,3,3,928.0,252.0,1.0,928,4,1956,1,1956.0,2000,0,1,0,0.0,4
5,1336,3,3,1288.0,502.0,2.0,1336,4,1969,2,1969.0,1969,2,2,0,128.0,6
7,1200,4,4,600.0,480.0,2.0,600,4,2004,2,2004.0,2004,0,2,1,120.0,4
6,1427,3,3,1427.0,516.0,2.0,1427,3,1969,2,1969.0,1969,0,2,0,0.0,7
7,1992,4,4,860.0,608.0,2.0,1212,4,1996,2,1996.0,2002,3,2,1,254.0,7
7,1540,4,4,754.0,495.0,2.0,754,4,1994,2,1994.0,1994,0,2,1,0.0,6
5,1535,3,3,0.0,400.0,2.0,1535,0,1979,1,1979.0,1979,0,2,0,0.0,8
5,1152,3,3,1152.0,484.0,2.0,1152,3,1964,2,1964.0,1964,4,1,1,86.0,6
8,1151,4,4,1141.0,484.0,2.0,1151,4,2006,3,2006.0,2007,0,2,1,30.0,5
6,1138,3,3,1138.0,480.0,2.0,1138,3,1960,2,1960.0,1960,3,1,0,54.0,6
5,1074,3,4,894.0,396.0,2.0,1074,3,1956,1,1966.0,1956,4,1,0,0.0,6
9,1561,5,5,1561.0,556.0,2.0,1561,5,2005,3,2005.0,2005,4,2,1,246.0,6
8,2726,4,4,1342.0,725.0,3.0,1358,4,1995,2,1995.0,1995,5,2,1,397.0,9
9,1884,5,5,1884.0,670.0,3.0,1884,5,2004,3,2004.0,2004,4,2,1,296.0,7
4,605,3,3,528.0,0.0,0.0,605,3,1920,0,1920.0,2002,0,1,0,0.0,5
8,1671,5,5,1426.0,550.0,2.0,1671,4,1976,2,1976.0,2007,4,3,0,0.0,6
3,797,3,3,245.0,0.0,0.0,797,2,1900,0,1900.0,1950,0,1,0,0.0,5
6,1961,3,4,804.0,560.0,2.0,804,5,2001,3,2001.0,2002,3,2,1,0.0,7
5,1193,3,3,1153.0,501.0,2.0,1193,4,1972,3,1972.0,1972,0,2,0,144.0,6
7,1382,4,4,673.0,490.0,2.0,673,4,2000,1,2000.0,2000,0,2,1,0.0,6
6,2526,3,4,714.0,216.0,1.0,1664,3,1916,1,1916.0,1950,4,2,0,0.0,10
6,1390,3,5,1705.0,550.0,2.0,1390,4,1957,1,1957.0,1957,4,1,0,902.0,4
7,1626,4,4,764.0,474.0,2.0,764,4,2003,2,2003.0,2003,0,2,1,106.0,6
5,1558,3,3,690.0,400.0,2.0,868,3,1939,1,1939.0,1950,4,1,0,0.0,7
5,1422,3,3,978.0,286.0,1.0,1422,3,1960,2,1960.0,1978,3,1,0,0.0,6
5,1573,3,3,1078.0,360.0,2.0,1128,3,1930,1,1930.0,1992,4,2,1,0.0,8
6,1116,3,3,1116.0,440.0,2.0,1116,3,1962,1,1962.0,1962,0,1,0,261.0,5
2,660,3,2,0.0,0.0,0.0,660,0,1947,0,1947.0,1950,0,1,0,0.0,5
6,1707,3,3,1140.0,479.0,2.0,1707,3,1978,3,1978.0,1998,3,2,1,144.0,7
5,1466,3,2,1466.0,528.0,2.0,1466,3,1959,3,1959.0,1959,4,1,0,132.0,6
9,1638,4,5,1614.0,495.0,2.0,1638,4,2000,3,2000.0,2000,3,2,1,260.0,5
5,1721,3,3,988.0,626.0,2.0,1721,3,1960,1,1960.0,1960,3,2,0,275.0,7
6,1764,3,4,928.0,470.0,2.0,928,4,1997,2,1997.0,1997,0,2,1,0.0,7
5,996,3,3,996.0,0.0,0.0,996,3,1940,0,1940.0,1969,4,1,0,0.0,6
5,1202,3,3,1202.0,304.0,1.0,1202,3,1956,2,1956.0,1956,0,1,0,0.0,6
5,988,3,3,988.0,572.0,2.0,988,3,1961,1,1963.0,1961,0,1,0,57.0,5
5,1028,3,3,1008.0,360.0,2.0,1028,3,1927,1,1927.0,1950,4,1,0,0.0,5
5,1284,3,3,720.0,240.0,1.0,720,3,1947,1,1948.0,1950,0,1,0,0.0,5
9,2944,4,4,994.0,864.0,3.0,1599,4,1977,2,1977.0,1977,4,2,0,1050.0,9
8,1414,4,4,707.0,403.0,2.0,707,5,2004,3,2004.0,2004,4,2,1,0.0,6
7,1609,3,4,637.0,579.0,3.0,959,3,1932,1,1963.0,1990,4,1,0,0.0,8
6,1525,3,3,813.0,400.0,2.0,813,3,1997,3,1997.0,1998,3,2,1,0.0,6
5,1656,2,3,624.0,288.0,1.0,1092,4,1967,1,1967.0,1967,1,1,0,0.0,7
7,1055,3,3,1055.0,440.0,2.0,1055,4,1977,1,1977.0,1977,0,2,0,0.0,4
5,1352,3,4,676.0,720.0,2.0,676,3,1939,1,1939.0,2006,0,2,0,0.0,7
6,1456,3,3,855.0,440.0,2.0,855,4,1977,1,1977.0,1977,3,2,0,0.0,6
8,1719,4,4,1719.0,473.0,2.0,1719,4,1993,3,1993.0,1993,4,1,1,0.0,6
5,864,3,3,864.0,0.0,0.0,864,3,1925,0,1925.0,1950,0,1,0,0.0,5
6,987,3,3,483.0,264.0,1.0,483,3,1973,1,1973.0,1973,0,1,0,359.0,5
5,1020,3,3,780.0,0.0,0.0,780,3,1875,0,1875.0,1996,0,1,0,0.0,6
8,1554,4,4,1554.0,627.0,2.0,1554,4,2006,2,2006.0,2006,4,2,1,108.0,6
10,3390,5,5,1528.0,758.0,3.0,1528,5,2006,3,2006.0,2006,5,3,1,662.0,10
6,1560,4,4,780.0,0.0,0.0,780,3,1912,0,1912.0,2009,0,1,1,0.0,7
4,864,3,3,864.0,400.0,2.0,864,3,1951,1,1951.0,1951,0,1,0,0.0,4
6,1889,3,3,982.0,431.0,2.0,1008,4,2000,3,2000.0,2000,3,2,1,0.0,9
5,1040,3,3,1040.0,260.0,1.0,1040,3,1962,1,1962.0,2010,0,1,0,0.0,6
5,1172,3,3,1172.0,366.0,1.0,1172,3,1954,3,1954.0,1998,0,1,0,0.0,5
8,1418,4,4,1642.0,852.0,3.0,1418,5,2010,2,2010.0,2010,4,1,1,0.0,6
6,1367,3,3,884.0,560.0,1.0,959,3,1931,1,1978.0,1950,4,1,0,0.0,6
7,1922,4,4,0.0,672.0,2.0,495,0,2003,2,2003.0,2003,5,3,0,500.0,7
6,1422,3,4,1422.0,576.0,2.0,1422,4,1981,3,1981.0,1981,3,2,0,210.0,7
7,1842,4,4,985.0,486.0,2.0,985,4,2000,3,2000.0,2000,3,2,1,144.0,7
4,1962,3,3,888.0,572.0,2.0,888,3,1915,1,1915.0,1950,3,1,0,0.0,9
5,1120,4,3,864.0,656.0,2.0,1120,3,1966,2,1966.0,2004,3,1,1,165.0,5
9,2868,4,5,1992.0,716.0,3.0,1992,5,2005,3,2005.0,2006,4,3,1,208.0,11
6,1478,3,3,1478.0,442.0,2.0,1478,3,1957,2,1957.0,1957,4,1,0,0.0,6
7,1995,4,4,930.0,610.0,2.0,950,4,1995,2,1995.0,1996,3,2,1,0.0,8
5,912,3,3,912.0,297.0,1.0,912,3,1958,3,1958.0,1985,0,1,0,0.0,5
6,1326,3,4,1326.0,388.0,2.0,1326,4,2005,3,2005.0,2005,0,2,1,0.0,6
8,1204,3,3,1191.0,461.0,2.0,1204,4,1987,2,1987.0,1987,0,2,0,0.0,5
6,1611,3,3,780.0,442.0,2.0,798,3,1964,2,1964.0,1964,0,1,0,360.0,7
4,960,3,3,960.0,576.0,2.0,960,3,1970,1,1970.0,1970,0,1,0,160.0,6
5,1236,3,4,1070.0,447.0,1.0,1236,3,1957,1,1957.0,1996,2,1,0,64.0,6
5,1416,3,4,816.0,576.0,2.0,1416,3,1918,1,2007.0,2007,0,2,0,0.0,7
7,1873,4,4,929.0,619.0,2.0,946,4,1988,2,1988.0,1988,3,2,1,360.0,7
5,2128,3,3,1040.0,0.0,0.0,1088,3,1922,0,1922.0,1950,0,2,0,0.0,11
7,1626,4,4,764.0,474.0,2.0,764,4,2003,2,2003.0,2004,0,2,1,106.0,6
5,816,3,3,816.0,308.0,1.0,816,3,1957,1,1957.0,1957,0,1,0,0.0,5
5,1112,3,3,536.0,336.0,1.0,536,4,1976,1,1976.0,1976,0,1,0,0.0,4
7,1111,3,3,572.0,288.0,1.0,572,3,1926,1,1982.0,1950,4,1,1,0.0,5
6,1441,3,3,855.0,440.0,2.0,855,3,1978,1,1978.0,1978,3,2,0,0.0,7
4,924,3,2,672.0,280.0,1.0,672,4,1941,1,1941.0,1950,0,1,0,0.0,5
5,1126,3,3,1060.0,506.0,2.0,1126,4,1984,1,1984.0,1984,0,1,1,0.0,5
5,992,3,3,381.0,319.0,1.0,992,2,1954,1,1954.0,1954,0,1,0,0.0,6
6,1376,3,4,768.0,576.0,2.0,752,3,1920,1,1977.0,1950,0,1,1,0.0,7
7,1218,4,4,1218.0,676.0,2.0,1218,4,2009,2,2009.0,2010,0,2,1,0.0,4
5,1644,3,4,728.0,312.0,1.0,888,3,1942,1,1942.0,1995,4,1,0,224.0,7
7,1601,3,3,1271.0,478.0,2.0,1601,4,1978,2,1978.0,1978,3,2,0,206.0,7
7,2495,3,3,1313.0,342.0,2.0,1313,3,1890,1,1950.0,1999,4,2,0,0.0,10
6,1509,4,4,783.0,393.0,2.0,807,4,2002,3,2002.0,2003,4,2,1,0.0,7
5,1092,3,3,1092.0,288.0,1.0,1092,3,1962,1,1962.0,1962,1,1,0,116.0,6
7,2418,4,4,1311.0,983.0,3.0,1325,4,1993,2,1993.0,1994,3,2,1,651.0,9
6,987,3,3,483.0,264.0,1.0,483,3,1971,1,1971.0,1971,0,1,0,504.0,5
4,1121,3,3,1121.0,440.0,2.0,1121,4,2003,2,2003.0,2004,0,2,1,0.0,5
6,1236,3,3,912.0,923.0,2.0,1236,3,1957,1,1957.0,1996,0,1,0,0.0,6
5,1074,3,3,1056.0,495.0,2.0,1074,4,1975,2,1975.0,1975,0,1,0,0.0,6
1,733,2,2,0.0,487.0,2.0,733,0,1952,1,1952.0,1952,0,1,0,0.0,4
7,1768,4,4,884.0,543.0,2.0,884,4,2003,2,2003.0,2003,0,2,1,252.0,8
7,1266,4,4,1257.0,453.0,2.0,1266,4,2005,1,2005.0,2005,3,2,1,0.0,6
8,2872,4,4,1683.0,541.0,2.0,2129,4,1992,3,1992.0,2000,3,2,1,337.0,9
8,1464,4,4,1485.0,754.0,3.0,1464,4,2007,1,2007.0,2007,0,2,1,84.0,6
7,2157,3,4,924.0,487.0,2.0,1216,3,1966,3,1966.0,1966,4,2,0,309.0,8
8,2576,5,5,1234.0,666.0,3.0,1264,5,2006,3,2006.0,2006,4,2,1,466.0,10
9,2798,4,5,1398.0,670.0,3.0,1414,5,2005,3,2005.0,2006,4,3,1,600.0,11
8,1743,4,4,966.0,529.0,2.0,1743,4,1976,3,1976.0,1976,2,0,0,0.0,5
6,1567,3,4,1567.0,714.0,2.0,1567,3,1977,2,1977.0,1977,3,2,1,0.0,5
7,1370,3,3,1090.0,479.0,2.0,1370,4,1976,2,1976.0,1976,3,2,0,189.0,6
5,2634,3,3,1248.0,968.0,4.0,1338,3,1969,1,1969.0,1969,0,2,0,368.0,12
8,1590,4,5,1570.0,754.0,3.0,1590,5,2005,3,2005.0,2006,0,2,1,198.0,6
7,1450,4,4,1450.0,788.0,3.0,1450,4,2008,2,2008.0,2009,0,2,1,140.0,6
6,1338,3,3,832.0,528.0,2.0,846,2,1915,1,1974.0,1950,0,2,0,0.0,7
7,1456,4,4,728.0,400.0,2.0,728,4,2007,3,2007.0,2007,4,2,1,0.0,8
10,2392,5,5,2392.0,968.0,3.0,2392,5,2003,3,2003.0,2003,5,2,1,922.0,8
4,992,3,3,530.0,297.0,1.0,530,4,1970,3,1970.0,1970,0,1,0,0.0,4
10,2007,5,5,1017.0,812.0,3.0,1026,5,2008,3,2008.0,2008,5,2,1,160.0,10
7,2385,4,4,1066.0,600.0,3.0,1108,4,1998,3,1998.0,1998,3,2,1,275.0,8
7,1646,3,3,918.0,240.0,1.0,918,3,1941,1,1941.0,1950,4,2,0,0.0,7
7,1456,4,4,728.0,400.0,2.0,728,4,2007,3,2007.0,2007,0,2,1,16.0,7
5,1040,3,3,528.0,624.0,2.0,548,3,1936,3,1979.0,1980,0,1,0,0.0,5
6,2624,3,3,1370.0,864.0,3.0,1370,4,1918,1,1918.0,1950,4,2,0,0.0,10
5,1264,3,3,1068.0,528.0,2.0,1264,3,1965,1,1965.0,1977,3,1,0,0.0,7
7,1557,4,4,1374.0,420.0,2.0,1557,4,2003,3,2003.0,2004,3,2,1,18.0,7
6,1287,3,3,957.0,541.0,2.0,1287,4,1977,2,1977.0,1977,2,1,0,0.0,5
6,1004,3,3,1004.0,480.0,2.0,1004,3,1970,3,1970.0,1970,3,1,0,180.0,5
7,1162,4,4,1162.0,483.0,2.0,1162,4,2007,3,2007.0,2007,0,2,1,0.0,6
7,1436,4,4,1436.0,529.0,2.0,1436,5,2008,3,2008.0,2009,0,2,1,0.0,6
5,960,3,4,960.0,300.0,1.0,960,3,1963,3,1963.0,2003,0,1,0,0.0,6
5,1196,3,3,1196.0,336.0,1.0,1196,4,1968,2,1968.0,1968,0,1,0,0.0,6
8,1269,4,4,1256.0,430.0,2.0,1269,4,2004,3,2004.0,2005,3,2,1,16.0,6
5,1031,4,4,1031.0,230.0,1.0,1031,3,1952,1,1952.0,2005,0,1,0,0.0,5
4,720,3,2,448.0,280.0,1.0,448,2,1900,1,1900.0,1998,0,1,0,0.0,5
6,1505,3,3,1505.0,505.0,2.0,1505,3,1953,2,1953.0,1953,3,1,0,90.0,6
5,954,3,2,920.0,240.0,1.0,954,2,1938,1,1938.0,1950,4,1,1,0.0,5
6,1500,3,4,750.0,564.0,2.0,750,4,2005,2,2005.0,2006,0,2,1,0.0,6
5,1050,3,3,1050.0,368.0,1.0,1050,3,1961,1,1961.0,1961,0,1,0,0.0,6
8,2687,4,4,2062.0,618.0,2.0,2079,4,1994,3,1994.0,1994,0,2,1,0.0,9
6,1252,3,3,1602.0,564.0,2.0,1252,4,1960,2,1960.0,1975,4,1,0,0.0,4
7,1430,3,3,384.0,400.0,2.0,774,4,1999,2,1999.0,2000,3,2,1,0.0,7
5,1114,3,4,1114.0,576.0,2.0,1114,4,2003,1,2004.0,2004,0,2,1,0.0,6
6,1224,3,3,1224.0,402.0,2.0,1224,5,1999,3,1999.0,1999,0,2,1,425.0,5
9,2504,4,5,1122.0,656.0,3.0,1134,4,2005,3,2005.0,2007,4,2,1,245.0,11
5,1355,3,3,728.0,528.0,2.0,760,3,1941,1,1966.0,1950,0,2,0,0.0,5
6,2294,3,3,741.0,658.0,2.0,1497,3,1963,1,1963.0,1963,4,3,0,234.0,9
9,1702,5,5,1702.0,1052.0,3.0,1702,5,2008,3,2008.0,2008,4,1,1,766.0,7
6,1509,4,4,1461.0,600.0,2.0,1509,4,1988,2,1988.0,1989,2,2,0,219.0,5
7,1717,3,4,756.0,642.0,3.0,961,3,1915,1,1998.0,1970,4,1,0,0.0,7
7,1240,3,4,1265.0,528.0,2.0,1240,4,1985,1,1985.0,1985,0,2,0,0.0,6
7,1166,4,4,856.0,400.0,2.0,1166,4,2005,3,2005.0,2005,0,2,1,182.0,5
5,1464,4,3,504.0,0.0,0.0,764,3,1910,0,1910.0,2002,0,2,0,0.0,7
6,1652,3,4,1592.0,510.0,2.0,1652,3,1959,2,1959.0,1991,4,1,0,136.0,6
6,2142,3,4,896.0,509.0,1.0,1182,4,1968,3,1968.0,1968,4,2,0,576.0,8
6,1092,3,3,1092.0,504.0,2.0,1092,4,1964,2,1964.0,1964,0,1,0,260.0,6
7,1671,4,3,1022.0,451.0,2.0,1122,3,1929,1,1963.0,1950,4,2,0,270.0,7
5,1488,3,3,0.0,569.0,2.0,1488,0,1952,2,2002.0,2002,5,1,0,232.0,7
5,1624,3,3,1444.0,240.0,1.0,1624,3,1952,2,1952.0,1952,4,1,0,150.0,6
6,1362,4,4,1362.0,460.0,2.0,1362,4,2005,2,2005.0,2006,4,2,1,256.0,6
7,1218,4,4,1218.0,462.0,2.0,1218,4,2007,3,2008.0,2008,0,2,1,210.0,6
6,1068,3,3,1124.0,288.0,1.0,1068,2,1923,1,1923.0,1950,4,1,0,0.0,5
6,1625,3,2,1625.0,576.0,2.0,1625,4,1979,3,1979.0,1979,3,2,0,0.0,6
7,1767,4,4,1064.0,504.0,2.0,1064,4,1987,2,1987.0,1987,3,2,1,0.0,5
6,1050,3,4,1050.0,286.0,1.0,1050,3,1954,2,1954.0,2000,0,1,0,176.0,6
4,907,3,3,907.0,352.0,1.0,907,3,1957,1,1964.0,1957,0,1,0,0.0,5
2,845,3,3,0.0,256.0,1.0,640,0,1939,1,1950.0,1950,0,1,0,0.0,4
8,2501,4,4,1242.0,751.0,3.0,1251,4,1995,2,1995.0,1995,3,2,1,466.0,9
5,1209,3,3,1209.0,504.0,2.0,1209,4,1966,2,1966.0,1966,0,1,1,0.0,6
4,906,3,3,348.0,231.0,1.0,453,3,1937,1,1937.0,1950,0,1,1,0.0,5
8,1601,4,4,1581.0,670.0,2.0,1601,4,2001,2,2001.0,2002,3,2,1,479.0,6
7,1336,4,4,1336.0,502.0,2.0,1336,4,2005,1,2005.0,2006,0,2,1,0.0,6
4,1656,3,3,801.0,440.0,2.0,1095,3,1940,1,1958.0,1985,0,2,0,0.0,8
5,1124,3,3,0.0,0.0,0.0,1124,0,1954,0,1954.0,1954,4,1,0,0.0,5
7,1892,4,3,982.0,431.0,2.0,1008,4,2000,2,2000.0,2001,3,2,1,647.0,8
3,1699,3,3,978.0,420.0,2.0,1014,2,1900,1,1920.0,1970,0,2,0,0.0,7
6,1416,3,3,780.0,312.0,1.0,780,3,1948,1,1948.0,1950,0,1,0,0.0,6
3,1306,3,2,728.0,0.0,0.0,1306,3,1940,0,1940.0,1966,0,1,0,0.0,6
4,672,4,3,672.0,308.0,1.0,672,3,1940,1,1997.0,2005,0,1,1,0.0,4
5,1160,3,4,1113.0,257.0,1.0,1160,3,1968,1,1968.0,1968,0,1,0,0.0,6
4,930,3,3,911.0,286.0,1.0,930,4,1953,2,1953.0,1953,0,1,0,115.0,5
4,708,2,2,420.0,0.0,0.0,708,3,1940,0,1940.0,1950,0,1,0,0.0,5
6,1575,4,4,1575.0,529.0,2.0,1575,4,1992,2,1992.0,1992,0,2,1,0.0,5
5,1059,3,3,1059.0,286.0,1.0,1059,3,1966,3,1966.0,1966,0,1,0,0.0,6
4,1005,3,3,1005.0,440.0,2.0,1005,3,1964,1,1964.0,1964,0,1,0,0.0,5
7,1929,4,4,1057.0,650.0,2.0,1057,4,2001,3,2001.0,2001,3,2,1,0.0,7
