overall_qual gr_liv_area,overall_qual year_built,overall_qual garage_yr_blt,overall_qual year_remod/add,overall_qual,overall_qual kitchen_qual,gr_liv_area bsmt_qual,overall_qual^2,overall_qual exter_qual,gr_liv_area exter_qual,overall_qual bsmt_qual,overall_qual garage_cars,gr_liv_area kitchen_qual,overall_qual 1st_flr_sf,overall_qual garage_area,overall_qual total_bsmt_sf,overall_qual totrms_abvgrd,overall_qual heating_qc,gr_liv_area garage_cars,kitchen_qual garage_cars,gr_liv_area heating_qc,garage_cars bsmt_qual,1st_flr_sf bsmt_qual,garage_area bsmt_qual,exter_qual garage_cars,gr_liv_area garage_area,gr_liv_area total_bsmt_sf,overall_qual full_bath,kitchen_qual bsmt_qual,total_bsmt_sf garage_cars,kitchen_qual garage_area,kitchen_qual total_bsmt_sf,total_bsmt_sf bsmt_qual,gr_liv_area garage_finish,exter_qual garage_area
10962.0,11544.0,11658.0,11976.0,6.0,18.0,5481.0,36.0,18.0,5481.0,18.0,6.0,5481.0,6102.0,1440.0,5088.0,54.0,18.0,1827.0,3.0,5481.0,3.0,3051.0,720.0,3.0,438480.0,1549296.0,6.0,9.0,848.0,720.0,2544.0,2544.0,1827.0,720.0
6700.0,9785.0,9785.0,10030.0,5.0,15.0,0.0,25.0,15.0,4020.0,0.0,5.0,4020.0,6700.0,1260.0,0.0,35.0,25.0,1340.0,3.0,6700.0,0.0,0.0,0.0,3.0,337680.0,0.0,5.0,0.0,0.0,756.0,0.0,0.0,2680.0,756.0
8616.0,11640.0,11640.0,11700.0,6.0,18.0,4308.0,36.0,18.0,4308.0,18.0,12.0,4308.0,5304.0,4968.0,5304.0,48.0,18.0,2872.0,6.0,4308.0,6.0,2652.0,2484.0,6.0,1189008.0,1269424.0,12.0,9.0,1768.0,2484.0,2652.0,2652.0,1436.0,2484.0
5365.0,9780.0,9780.0,9780.0,5.0,15.0,3219.0,25.0,15.0,3219.0,15.0,5.0,3219.0,5365.0,1700.0,5365.0,25.0,15.0,1073.0,3.0,3219.0,3.0,3219.0,1020.0,3.0,364820.0,1151329.0,5.0,9.0,1073.0,1020.0,3219.0,3219.0,1073.0,1020.0
10638.0,11766.0,11766.0,11952.0,6.0,18.0,5319.0,36.0,18.0,5319.0,18.0,12.0,5319.0,10638.0,2508.0,7878.0,36.0,18.0,3546.0,6.0,5319.0,6.0,5319.0,1254.0,6.0,741114.0,2327949.0,12.0,9.0,2626.0,1254.0,3939.0,3939.0,3546.0,1254.0
13936.0,15056.0,15400.0,15888.0,8.0,32.0,5226.0,64.0,32.0,6968.0,24.0,16.0,6968.0,7328.0,3392.0,7328.0,64.0,32.0,3484.0,8.0,6968.0,6.0,2748.0,1272.0,8.0,738608.0,1595672.0,8.0,12.0,1832.0,1696.0,3664.0,2748.0,1742.0,1696.0
5300.0,9840.0,9840.0,10005.0,5.0,20.0,3180.0,25.0,15.0,3180.0,15.0,5.0,4240.0,5300.0,1350.0,5300.0,30.0,25.0,1060.0,4.0,5300.0,3.0,3180.0,810.0,3.0,286200.0,1123600.0,5.0,12.0,1060.0,1080.0,4240.0,3180.0,1060.0,810.0
4320.0,9805.0,9910.0,9805.0,5.0,15.0,2592.0,25.0,15.0,2592.0,15.0,10.0,2592.0,4320.0,3660.0,4320.0,25.0,25.0,1728.0,6.0,4320.0,6.0,2592.0,2196.0,6.0,632448.0,746496.0,5.0,9.0,1728.0,2196.0,2592.0,2592.0,864.0,2196.0
9702.0,11958.0,11958.0,11964.0,6.0,24.0,6468.0,36.0,24.0,6468.0,24.0,12.0,6468.0,9702.0,3198.0,9624.0,30.0,30.0,3234.0,8.0,8085.0,8.0,6468.0,2132.0,8.0,861861.0,2593668.0,12.0,16.0,3208.0,2132.0,6416.0,6416.0,3234.0,2132.0
5928.0,11814.0,11814.0,11814.0,6.0,18.0,2964.0,36.0,18.0,2964.0,18.0,12.0,2964.0,5928.0,3240.0,5628.0,24.0,30.0,1976.0,6.0,4940.0,6.0,2964.0,1620.0,6.0,533520.0,926744.0,6.0,9.0,1876.0,1620.0,2814.0,2814.0,988.0,1620.0
8526.0,14049.0,14049.0,14049.0,7.0,28.0,4872.0,49.0,28.0,4872.0,28.0,14.0,4872.0,8526.0,4032.0,8526.0,42.0,35.0,2436.0,8.0,6090.0,8.0,4872.0,2304.0,8.0,701568.0,1483524.0,7.0,16.0,2436.0,2304.0,4872.0,4872.0,2436.0,2304.0
4320.0,9860.0,9945.0,9860.0,5.0,15.0,2592.0,25.0,15.0,2592.0,15.0,5.0,2592.0,4320.0,1760.0,4320.0,25.0,15.0,864.0,3.0,2592.0,3.0,2592.0,1056.0,3.0,304128.0,746496.0,5.0,9.0,864.0,1056.0,2592.0,2592.0,864.0,1056.0
6952.0,7680.0,7680.0,8028.0,4.0,12.0,5214.0,16.0,12.0,5214.0,12.0,4.0,5214.0,5124.0,1472.0,2860.0,28.0,16.0,1738.0,3.0,6952.0,3.0,3843.0,1104.0,3.0,639584.0,1242670.0,8.0,9.0,715.0,1104.0,2145.0,2145.0,1738.0,1104.0
8750.0,9400.0,9685.0,9955.0,5.0,25.0,3500.0,25.0,15.0,5250.0,10.0,5.0,8750.0,5445.0,1200.0,3180.0,40.0,15.0,1750.0,5.0,5250.0,2.0,2178.0,480.0,3.0,420000.0,1113000.0,5.0,10.0,636.0,1200.0,3180.0,1272.0,1750.0,720.0
6324.0,11778.0,11778.0,11778.0,6.0,24.0,3162.0,36.0,18.0,3162.0,18.0,12.0,4216.0,6324.0,2880.0,5616.0,36.0,30.0,2108.0,8.0,5270.0,6.0,3162.0,1440.0,6.0,505920.0,986544.0,6.0,12.0,1872.0,1920.0,3744.0,2808.0,2108.0,1440.0
2010.0,5835.0,5835.0,5850.0,3.0,6.0,2010.0,9.0,9.0,2010.0,9.0,0.0,1340.0,1326.0,0.0,1110.0,12.0,9.0,0.0,0.0,2010.0,0.0,1326.0,0.0,0.0,0.0,247900.0,3.0,6.0,0.0,0.0,740.0,1110.0,0.0,0.0
3432.0,7884.0,7916.0,7884.0,4.0,12.0,2574.0,16.0,12.0,2574.0,12.0,4.0,2574.0,3432.0,2736.0,3432.0,16.0,12.0,858.0,3.0,2574.0,3.0,2574.0,2052.0,3.0,586872.0,736164.0,4.0,9.0,858.0,2052.0,2574.0,2574.0,858.0,2052.0
4832.0,7700.0,7848.0,7800.0,4.0,12.0,3624.0,16.0,12.0,3624.0,12.0,8.0,3624.0,3392.0,2156.0,3120.0,20.0,12.0,2416.0,6.0,3624.0,6.0,2544.0,1617.0,6.0,651112.0,942240.0,4.0,9.0,1560.0,1617.0,2340.0,2340.0,1208.0,1617.0
18480.0,13160.0,13650.0,14021.0,7.0,28.0,7920.0,49.0,28.0,10560.0,21.0,28.0,10560.0,9240.0,6048.0,8680.0,56.0,21.0,10560.0,16.0,7920.0,12.0,3960.0,2592.0,16.0,2280960.0,3273600.0,7.0,12.0,4960.0,3456.0,4960.0,3720.0,2640.0,3456.0
5890.0,9865.0,9865.0,10000.0,5.0,20.0,4712.0,25.0,15.0,3534.0,20.0,10.0,4712.0,5890.0,2195.0,5880.0,25.0,20.0,2356.0,8.0,4712.0,8.0,4712.0,1756.0,6.0,517142.0,1385328.0,5.0,16.0,2352.0,1756.0,4704.0,4704.0,1178.0,1317.0
10444.0,14007.0,14007.0,14007.0,7.0,28.0,5968.0,49.0,28.0,5968.0,28.0,14.0,5968.0,10444.0,4256.0,10444.0,42.0,35.0,2984.0,8.0,7460.0,8.0,5968.0,2432.0,8.0,907136.0,2226064.0,14.0,16.0,2984.0,2432.0,5968.0,5968.0,2984.0,2432.0
10206.0,14042.0,14049.0,14049.0,7.0,28.0,5832.0,49.0,21.0,4374.0,28.0,14.0,5832.0,4256.0,3178.0,4256.0,42.0,35.0,2916.0,8.0,7290.0,8.0,2432.0,1816.0,6.0,661932.0,886464.0,14.0,16.0,1216.0,1816.0,2432.0,2432.0,4374.0,1362.0
6628.0,7680.0,7680.0,7920.0,4.0,8.0,4971.0,16.0,12.0,4971.0,12.0,4.0,3314.0,4588.0,648.0,4588.0,36.0,12.0,1657.0,2.0,4971.0,3.0,3441.0,486.0,3.0,268434.0,1900579.0,4.0,6.0,1147.0,324.0,2294.0,3441.0,1657.0,486.0
3992.0,7780.0,7808.0,7800.0,4.0,12.0,0.0,16.0,8.0,1996.0,0.0,8.0,2994.0,3992.0,1840.0,0.0,20.0,12.0,1996.0,6.0,2994.0,0.0,0.0,0.0,4.0,459080.0,0.0,4.0,0.0,0.0,1380.0,0.0,0.0,998.0,920.0
4550.0,9765.0,9765.0,9980.0,5.0,20.0,2730.0,25.0,20.0,3640.0,15.0,10.0,3640.0,4550.0,2070.0,525.0,25.0,20.0,1820.0,8.0,3640.0,6.0,2730.0,1242.0,8.0,376740.0,95550.0,5.0,12.0,210.0,1656.0,420.0,315.0,910.0,1656.0
9506.0,13993.0,13993.0,14000.0,7.0,28.0,5432.0,49.0,28.0,5432.0,28.0,14.0,5432.0,9506.0,4375.0,9373.0,35.0,35.0,2716.0,8.0,6790.0,8.0,5432.0,2500.0,8.0,848750.0,1818362.0,14.0,16.0,2678.0,2500.0,5356.0,5356.0,1358.0,2500.0
7344.0,12054.0,12054.0,12054.0,6.0,24.0,4896.0,36.0,24.0,4896.0,24.0,12.0,4896.0,3672.0,3168.0,3672.0,24.0,30.0,2448.0,8.0,6120.0,8.0,2448.0,2112.0,8.0,646272.0,749088.0,12.0,16.0,1224.0,2112.0,2448.0,2448.0,2448.0,2112.0
13202.0,13986.0,13986.0,13993.0,7.0,28.0,7544.0,49.0,28.0,7544.0,28.0,14.0,7544.0,6692.0,3017.0,6510.0,70.0,28.0,3772.0,8.0,7544.0,8.0,3824.0,1724.0,8.0,812866.0,1753980.0,14.0,16.0,1860.0,1724.0,3720.0,3720.0,5658.0,1724.0
6635.0,9795.0,9870.0,10010.0,5.0,20.0,3981.0,25.0,15.0,3981.0,15.0,10.0,5308.0,6635.0,3120.0,5315.0,35.0,20.0,2654.0,8.0,5308.0,6.0,3981.0,1872.0,6.0,828048.0,1410601.0,5.0,12.0,2126.0,2496.0,4252.0,3189.0,1327.0,1872.0
6815.0,9755.0,9755.0,10000.0,5.0,15.0,4089.0,25.0,20.0,5452.0,15.0,5.0,4089.0,6815.0,1440.0,5040.0,30.0,25.0,1363.0,3.0,6815.0,3.0,4089.0,864.0,4.0,392544.0,1373904.0,5.0,9.0,1008.0,864.0,3024.0,3024.0,1363.0,1152.0
10507.0,13909.0,13909.0,13909.0,7.0,28.0,6004.0,49.0,28.0,6004.0,28.0,14.0,6004.0,10507.0,3584.0,10507.0,35.0,35.0,3002.0,8.0,7505.0,8.0,6004.0,2048.0,8.0,768512.0,2253001.0,14.0,16.0,3002.0,2048.0,6004.0,6004.0,4503.0,2048.0
5376.0,7880.0,7880.0,8032.0,4.0,12.0,4032.0,16.0,12.0,4032.0,12.0,0.0,4032.0,3192.0,0.0,2184.0,24.0,12.0,0.0,0.0,4032.0,0.0,2394.0,0.0,0.0,0.0,733824.0,4.0,9.0,0.0,0.0,1638.0,1638.0,0.0,0.0
12502.0,14007.0,14007.0,14014.0,7.0,28.0,7144.0,49.0,28.0,7144.0,28.0,14.0,7144.0,6440.0,4256.0,6440.0,42.0,35.0,3572.0,8.0,8930.0,8.0,3680.0,2432.0,8.0,1085888.0,1643120.0,14.0,16.0,1840.0,2432.0,3680.0,3680.0,3572.0,2432.0
4825.0,9825.0,9895.0,9825.0,5.0,15.0,2895.0,25.0,15.0,2895.0,15.0,5.0,2895.0,4825.0,1500.0,4140.0,30.0,20.0,965.0,3.0,3860.0,3.0,2895.0,900.0,3.0,289500.0,799020.0,5.0,9.0,828.0,900.0,2484.0,2484.0,965.0,900.0
4680.0,9780.0,9780.0,10000.0,5.0,15.0,2808.0,25.0,15.0,2808.0,15.0,5.0,2808.0,4680.0,1540.0,4680.0,20.0,25.0,936.0,3.0,4680.0,3.0,2808.0,924.0,3.0,288288.0,876096.0,5.0,9.0,936.0,924.0,2808.0,2808.0,2808.0,924.0
5200.0,9815.0,9815.0,9815.0,5.0,15.0,3120.0,25.0,15.0,3120.0,15.0,5.0,3120.0,5200.0,1540.0,5200.0,25.0,10.0,1040.0,3.0,2080.0,3.0,3120.0,924.0,3.0,320320.0,1081600.0,5.0,9.0,1040.0,924.0,3120.0,3120.0,3120.0,924.0
6240.0,9650.0,9785.0,9750.0,5.0,15.0,3744.0,25.0,15.0,3744.0,15.0,5.0,3744.0,4560.0,800.0,4560.0,30.0,20.0,1248.0,3.0,4992.0,3.0,2736.0,480.0,3.0,199680.0,1138176.0,5.0,9.0,912.0,480.0,2736.0,2736.0,1248.0,480.0
18144.0,15120.0,16024.0,16016.0,8.0,32.0,4536.0,64.0,32.0,9072.0,16.0,16.0,9072.0,9256.0,4992.0,2768.0,56.0,40.0,4536.0,8.0,11340.0,4.0,2314.0,1248.0,8.0,1415232.0,784728.0,24.0,8.0,692.0,2496.0,1384.0,692.0,2268.0,2496.0
12920.0,16056.0,16056.0,16056.0,8.0,32.0,6460.0,64.0,32.0,6460.0,32.0,24.0,6460.0,12920.0,6912.0,12920.0,56.0,40.0,4845.0,12.0,8075.0,12.0,6460.0,3456.0,12.0,1395360.0,2608225.0,16.0,16.0,4845.0,3456.0,6460.0,6460.0,3230.0,3456.0
6800.0,9690.0,9755.0,9975.0,5.0,20.0,4080.0,25.0,15.0,4080.0,15.0,5.0,5440.0,4015.0,1485.0,4015.0,30.0,25.0,1360.0,4.0,6800.0,3.0,2409.0,891.0,3.0,403920.0,1092080.0,5.0,12.0,803.0,1188.0,3212.0,2409.0,1360.0,891.0
5710.0,9620.0,9620.0,9750.0,5.0,15.0,3426.0,25.0,15.0,3426.0,15.0,5.0,3426.0,4110.0,1600.0,2340.0,30.0,20.0,1142.0,3.0,4568.0,3.0,2466.0,960.0,3.0,365440.0,534456.0,5.0,9.0,468.0,960.0,1404.0,1404.0,3426.0,960.0
6156.0,11814.0,11814.0,12030.0,6.0,24.0,3078.0,36.0,18.0,3078.0,18.0,12.0,4104.0,6156.0,2640.0,6156.0,30.0,24.0,2052.0,8.0,4104.0,6.0,3078.0,1320.0,6.0,451440.0,1052676.0,6.0,12.0,2052.0,1760.0,4104.0,3078.0,2052.0,1320.0
12740.0,13475.0,13475.0,13650.0,7.0,21.0,5460.0,49.0,21.0,5460.0,21.0,7.0,5460.0,7931.0,1680.0,7182.0,56.0,35.0,1820.0,3.0,9100.0,3.0,3399.0,720.0,3.0,436800.0,1867320.0,14.0,9.0,1026.0,720.0,3078.0,3078.0,1820.0,720.0
6720.0,9790.0,9850.0,9915.0,5.0,15.0,4032.0,25.0,15.0,4032.0,15.0,5.0,4032.0,6720.0,2420.0,5120.0,30.0,15.0,1344.0,3.0,4032.0,3.0,4032.0,1452.0,3.0,650496.0,1376256.0,5.0,9.0,1024.0,1452.0,3072.0,3072.0,1344.0,1452.0
8351.0,13825.0,13825.0,13825.0,7.0,21.0,3579.0,49.0,21.0,3579.0,21.0,14.0,3579.0,8351.0,3542.0,8232.0,35.0,14.0,2386.0,6.0,2386.0,6.0,3579.0,1518.0,6.0,603658.0,1402968.0,14.0,9.0,2352.0,1518.0,3528.0,3528.0,1193.0,1518.0
13055.0,14000.0,14000.0,14000.0,7.0,28.0,7460.0,49.0,28.0,7460.0,28.0,21.0,7460.0,6944.0,5873.0,6944.0,49.0,35.0,5595.0,12.0,9325.0,12.0,3968.0,3356.0,12.0,1564735.0,1850080.0,14.0,16.0,2976.0,3356.0,3968.0,3968.0,3730.0,3356.0
16048.0,15984.0,15984.0,15984.0,8.0,32.0,8024.0,64.0,32.0,8024.0,32.0,24.0,8024.0,16048.0,7504.0,15856.0,40.0,40.0,6018.0,12.0,10030.0,12.0,8024.0,3752.0,12.0,1881628.0,3975892.0,16.0,16.0,5946.0,3752.0,7928.0,7928.0,6018.0,3752.0
5700.0,9600.0,9600.0,9750.0,5.0,15.0,3420.0,25.0,15.0,3420.0,15.0,10.0,3420.0,5700.0,2000.0,6500.0,30.0,10.0,2280.0,6.0,2280.0,6.0,3420.0,1200.0,6.0,456000.0,1482000.0,5.0,9.0,2600.0,1200.0,3900.0,3900.0,1140.0,1200.0
5880.0,9790.0,9790.0,9990.0,5.0,15.0,3528.0,25.0,15.0,3528.0,15.0,5.0,3528.0,5880.0,1515.0,5790.0,30.0,15.0,1176.0,3.0,3528.0,3.0,3528.0,909.0,3.0,356328.0,1361808.0,5.0,9.0,1158.0,909.0,3474.0,3474.0,1176.0,909.0
11690.0,13797.0,13797.0,13797.0,7.0,21.0,6680.0,49.0,21.0,5010.0,28.0,14.0,5010.0,5915.0,3248.0,5775.0,49.0,21.0,3340.0,6.0,5010.0,8.0,3380.0,1856.0,6.0,774880.0,1377750.0,7.0,12.0,1650.0,1392.0,2475.0,3300.0,5010.0,1392.0
9618.0,11952.0,11952.0,11952.0,6.0,24.0,6412.0,36.0,24.0,6412.0,24.0,12.0,6412.0,4860.0,2904.0,4566.0,42.0,30.0,3206.0,8.0,8015.0,8.0,3240.0,1936.0,8.0,775852.0,1219883.0,12.0,16.0,1522.0,1936.0,3044.0,3044.0,3206.0,1936.0
16504.0,15952.0,15952.0,15960.0,8.0,32.0,8252.0,64.0,32.0,8252.0,32.0,24.0,8252.0,16504.0,6520.0,16192.0,56.0,40.0,6189.0,12.0,10315.0,12.0,8252.0,3260.0,12.0,1681345.0,4175512.0,16.0,16.0,6072.0,3260.0,8096.0,8096.0,6189.0,3260.0
3432.0,7884.0,7884.0,7884.0,4.0,12.0,2574.0,16.0,12.0,2574.0,12.0,0.0,2574.0,3432.0,0.0,3432.0,20.0,12.0,0.0,0.0,2574.0,0.0,2574.0,0.0,0.0,0.0,736164.0,4.0,9.0,0.0,0.0,2574.0,2574.0,0.0,0.0
7812.0,12030.0,12030.0,12036.0,6.0,24.0,5208.0,36.0,24.0,5208.0,24.0,12.0,5208.0,7812.0,3786.0,7812.0,30.0,30.0,2604.0,8.0,6510.0,8.0,5208.0,2524.0,8.0,821562.0,1695204.0,6.0,16.0,2604.0,2524.0,5208.0,5208.0,2604.0,2524.0
2322.0,5793.0,5793.0,6018.0,3.0,12.0,2322.0,9.0,9.0,2322.0,9.0,0.0,3096.0,2322.0,0.0,1632.0,18.0,15.0,0.0,0.0,3870.0,0.0,2322.0,0.0,0.0,0.0,421056.0,3.0,12.0,0.0,0.0,2176.0,1632.0,0.0,0.0
5088.0,12024.0,12024.0,12024.0,6.0,24.0,3392.0,36.0,24.0,3392.0,24.0,12.0,3392.0,5088.0,2520.0,5088.0,18.0,30.0,1696.0,8.0,4240.0,8.0,3392.0,1680.0,8.0,356160.0,719104.0,6.0,16.0,1696.0,1680.0,3392.0,3392.0,1696.0,1680.0
2988.0,7704.0,7812.0,7812.0,4.0,12.0,1494.0,16.0,12.0,2241.0,8.0,8.0,2241.0,2988.0,2112.0,2400.0,20.0,16.0,1494.0,6.0,2988.0,4.0,1494.0,1056.0,6.0,394416.0,448200.0,4.0,6.0,1200.0,1584.0,1800.0,1200.0,747.0,1584.0
20160.0,16056.0,16056.0,16056.0,8.0,40.0,12600.0,64.0,32.0,10080.0,40.0,24.0,12600.0,12064.0,5120.0,12064.0,80.0,40.0,7560.0,15.0,12600.0,15.0,7540.0,3200.0,12.0,1612800.0,3800160.0,16.0,25.0,4524.0,3200.0,7540.0,7540.0,7560.0,2560.0
9360.0,11760.0,11760.0,11760.0,6.0,18.0,4680.0,36.0,18.0,4680.0,18.0,12.0,4680.0,9360.0,3480.0,9360.0,36.0,18.0,3120.0,6.0,4680.0,6.0,4680.0,1740.0,6.0,904800.0,2433600.0,6.0,9.0,3120.0,1740.0,4680.0,4680.0,3120.0,1740.0
10304.0,13937.0,13937.0,13944.0,7.0,28.0,5888.0,49.0,28.0,5888.0,28.0,14.0,5888.0,5614.0,2814.0,2688.0,49.0,28.0,2944.0,8.0,5888.0,8.0,3208.0,1608.0,8.0,591744.0,565248.0,14.0,16.0,768.0,1608.0,1536.0,1536.0,2944.0,1608.0
5250.0,9855.0,9855.0,9855.0,5.0,15.0,4200.0,25.0,15.0,3150.0,20.0,5.0,3150.0,5250.0,1680.0,5215.0,30.0,25.0,1050.0,3.0,5250.0,4.0,4200.0,1344.0,3.0,352800.0,1095150.0,5.0,12.0,1043.0,1008.0,3129.0,4172.0,1050.0,1008.0
10344.0,11802.0,11802.0,11856.0,6.0,18.0,6896.0,36.0,18.0,5172.0,24.0,12.0,5172.0,10344.0,2880.0,10080.0,42.0,12.0,3448.0,6.0,3448.0,8.0,6896.0,1920.0,6.0,827520.0,2896320.0,6.0,12.0,3360.0,1440.0,5040.0,6720.0,3448.0,1440.0
8855.0,9800.0,9800.0,10030.0,5.0,15.0,0.0,25.0,15.0,5313.0,0.0,10.0,5313.0,8855.0,1680.0,0.0,45.0,15.0,3542.0,6.0,5313.0,0.0,0.0,0.0,6.0,595056.0,0.0,5.0,0.0,0.0,1008.0,0.0,0.0,1771.0,1008.0
7242.0,11772.0,11772.0,11910.0,6.0,18.0,3621.0,36.0,18.0,3621.0,18.0,6.0,3621.0,7242.0,1584.0,6810.0,36.0,30.0,1207.0,3.0,6035.0,3.0,3621.0,792.0,3.0,318648.0,1369945.0,6.0,9.0,1135.0,792.0,3405.0,3405.0,2414.0,792.0
4410.0,9795.0,9795.0,9795.0,5.0,15.0,0.0,25.0,15.0,2646.0,0.0,5.0,2646.0,4410.0,1470.0,0.0,25.0,15.0,882.0,3.0,2646.0,0.0,0.0,0.0,3.0,259308.0,0.0,5.0,0.0,0.0,882.0,0.0,0.0,1764.0,882.0
16020.0,18036.0,18036.0,18045.0,9.0,45.0,8900.0,81.0,45.0,8900.0,45.0,27.0,8900.0,16020.0,7344.0,16020.0,63.0,45.0,5340.0,15.0,8900.0,15.0,8900.0,4080.0,15.0,1452480.0,3168400.0,18.0,25.0,5340.0,4080.0,8900.0,8900.0,5340.0,4080.0
10213.0,14014.0,14014.0,14014.0,7.0,28.0,5836.0,49.0,28.0,5836.0,28.0,14.0,5836.0,10213.0,3689.0,10213.0,42.0,35.0,2918.0,8.0,7295.0,8.0,5836.0,2108.0,8.0,768893.0,2128681.0,14.0,16.0,2918.0,2108.0,5836.0,5836.0,2918.0,2108.0
